分類,市町村コード,No,都道府県,市区町村名,地域区分,設置主体,運営主体,保育所型認定こども園,設置・運営主体名,名称,郵便番号,住所,建物ビル名,階数,部屋番号等,緯度,経度,電話番号,内線番号,FAX番号,URL,利用定員（2号）,利用定員（3号）,施設長又は代表者,認可・認定年月日（和暦）,認可・認定年月日（西暦）,備考,更新年月日
道内認可保育所,11011,札幌-021,北海道,札幌市中央区,札幌（中）,株式,株式,,株式会社プロケア,ちゃいれっく北７条西保育園,060-0007,札幌市中央区北7条西22丁目2-5,,,,43.06571,141.32161,011-215-9188,,,,33,27,平砂　千秋,平成27年4月1日,2015/4/1,,2022/3/15
道内認可保育所,11011,札幌-022,北海道,札幌市中央区,札幌（中）,株式,株式,,株式会社モード・プランニング・ジャパン,札幌時計台雲母保育園,060-0001,札幌市中央区北1条西2丁目1番地,,,,43.06316,141.35544,011-218-3868,,,,33,27,岡田　弥生,平成27年4月1日,2015/4/1,,2022/3/15
道内認可保育所,11011,札幌-023,北海道,札幌市中央区,札幌（中）,ＮＰＯ,ＮＰＯ,,特定非営利活動法人札幌ふれあい福祉会,札幌ハイジ保育園苗穂保育ルーム,060-0033,札幌市中央区北3条東13丁目99-6,,,,43.068418,141.376855,011-219-0808,,,http://ww6.et.tiki.ne.jp/%7Etomato/,37,23,橘　あけみ,平成28年4月1日,2016/4/1,,2022/3/15
道内認可保育所,11011,札幌-024,北海道,札幌市中央区,札幌（中）,有限,有限,,有限会社フクウン・サービス,こどもプラザ青い鳥,060-0009,札幌市中央区北9条西23丁目1-23,,,,43.068888,141.316946,011-642-3878,,,http://nttbj.itp.ne.jp/0116423878/index.html,24,16,松橋　由美子,平成28年4月1日,2016/4/1,,2022/3/15
道内認可保育所,11011,札幌-025,北海道,札幌市中央区,札幌（中）,株式,株式,,株式会社ニチイ学館,ニチイキッズ大通西１８丁目保育園,060-0042,札幌市中央区大通西18丁目2-7,,,,43.0577,141.33,011-633-7121,,,,22,18,高橋　弘子,平成28年4月1日,2016/4/1,,2022/3/15
道内認可保育所,11011,札幌-026,北海道,札幌市中央区,札幌（中）,株式,株式,,株式会社プライムランド,ピッコロ子ども倶楽部円山園,064-0820,札幌市中央区大通西26丁目3-5,,,,43.0564,141.318,011-590-0848,,,,22,18,村田　紘子,平成28年7月1日,2016/7/1,,2022/3/15
道内認可保育所,11011,札幌-027,北海道,札幌市中央区,札幌（中）,株式,株式,,アートチャイルドケア株式会社,アートチャイルドケア札幌山鼻,064-0919,札幌市中央区南19条西12丁目2-12,ＫＹビル,,,43.0334,141.3425,011-206-1230,,,,33,27,後藤　淳子,平成29年4月1日,2017/4/1,,2022/3/15
道内認可保育所,11011,札幌-028,北海道,札幌市中央区,札幌（中）,株式,株式,,ＨＩＴＯＷＡキッズライフ株式会社,太陽の子札幌中央保育園,060-0004,札幌市中央区北4条西16丁目1,テルウェル札幌第１ビル,2,,43.0631,141.3309,011-590-0697,,,,33,27,宝住　由香,平成29年4月1日,2017/4/1,,2022/3/15
道内認可保育所,11011,札幌-029,北海道,札幌市中央区,札幌（中）,株式,株式,,株式会社モード・プランニング・ジャパン,札幌円山公園雲母保育園,064-0824,札幌市中央区北4条西23丁目1-1,,,,43.0617,141.3216,011-633-7002,,,,33,27,甲斐　葉子,平成30年4月1日,2018/4/1,,2022/3/15
道内認可保育所,11011,札幌-030,北海道,札幌市中央区,札幌（中）,学法,学法,,学校法人三幸学園,札幌こども保育園,060-0042,札幌市中央区大通西9丁目1-12,,,,43.0588,141.3439,011-272-8891,,,,21,19,内藤　靖代,平成30年4月1日,2018/4/1,,2022/3/15
道内認可保育所,11011,札幌-031,北海道,札幌市中央区,札幌（中）,株式,株式,,株式会社ニチイ学館,ニチイキッズ南まるやま保育園,064-0809,札幌市中央区南9条西23丁目2-15,,,,43.0439,141.3216,011-530-5310,,,,27,23,馬渡　由香里,平成31年4月1日,2019/4/1,,2022/3/15
道内認可保育所,11011,札幌-032,北海道,札幌市中央区,札幌（中）,ＮＰＯ,ＮＰＯ,,特定非営利活動法人札幌ベビールーム,北一条すずらん保育園,060-0031,札幌市中央区北1条東10丁目15-82,ライオンズマンション札幌スカイタワー,1,,43.0652,141.3725,011-213-1448,,,,33,27,大泉　京子,平成31年4月1日,2019/4/1,,2022/3/15
道内認可保育所,11011,札幌-033,北海道,札幌市中央区,札幌（中）,株式,株式,,株式会社ＮＯＶＡ,ＮＯＶＡインターナショナルスクール,060-0053,札幌市中央区南3条東2丁目1,サンシャインビル,1,,43.0577,141.3592,011-804-4655,,,,53,37,高橋　知世,平成31年4月1日,2019/4/1,,2022/3/15
道内認可保育所,11011,札幌-034,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人キッズランド・リラ,宮の森ライラック保育園,064-0953,札幌市中央区宮の森3条3丁目4-18,,,,43.0652,141.3068,011-699-5899,,,,35,25,芦田　泰子,令和2年10月1日,2020/10/1,,2022/3/15
道内認可保育所,11011,札幌-035,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人さくら会,伏見保育園,064-0942,札幌市中央区伏見1丁目2-14,,,,43.037,141.3265,011-215-1632,,,,51,39,佐々木　裕美,令和3年4月1日,2021/4/1,,2022/3/15
道内認可保育所,11011,札幌-036,北海道,札幌市中央区,札幌（中）,株式,株式,,ＡＮＹＤＳ株式会社,山鼻ひまわり保育園,064-0919,札幌市中央区南19条西7丁目2-22,,,,43.0349,141.35,011-522-9618,,,,29,21,伊藤　遥菜,令和3年4月1日,2021/4/1,,2022/3/15
道内認可保育所,11011,札幌-037,北海道,札幌市中央区,札幌（中）,公財,公財,〇,公益財団法人鉄道弘済会,札幌認定こども園,060-0051,札幌市中央区南1条東7丁目2-15,,,,43.062149,141.368058,011-251-1555,,011-804-0661,http://www.kousaikai.or.jp/sukoyaka/sapporo/index.html,33,27,廣川　泰市,平成29年4月1日,2017/4/1,,2022/3/15
道内認可保育所,11029,札幌-038,北海道,札幌市北区,札幌（北）,市町村,市町村,,札幌市,札幌市新川保育園,001-0921,札幌市北区新川1条5丁目1-23,,,,43.098245,141.31423,011-761-7962,,011-764-8489,,68,52,五十嵐　友紀,昭和40年12月1日,1965/12/1,,2022/3/15
道内認可保育所,11029,札幌-039,北海道,札幌市北区,札幌（北）,市町村,市町村,,札幌市,札幌市新琴似保育園,001-0908,札幌市北区新琴似8条3丁目1-40,,,,43.113799,141.332588,011-761-4853,,011-764-8597,,68,22,清水　奈津,昭和40年12月1日,1965/12/1,,2022/3/15
道内認可保育所,11029,札幌-040,北海道,札幌市北区,札幌（北）,市町村,市町村,,札幌市,札幌市北区保育・子育て支援センター,001-0025,札幌市北区北25条西3丁目3-3,,,,43.092014,141.344691,011-757-5380,,011-757-5370,http://www.city.sapporo.jp/kodomo/kosodate/R08_04.html,68,52,角田　靖子,平成24年4月1日,2012/4/1,,2022/3/15
道内認可保育所,11029,都市,売上,経費,札幌（北）,社福,社福,,社会福祉法人札幌協働福祉会,あいの里協働保育園,002-8091,札幌市北区南あいの里5丁目6-1,,,,43.153904,141.398419,011-770-5300,,011-770-5301,http://sapporo-kyoudoufukusikai.jp/ai-hoikuen/,32,28,田鎖　和美,平成24年4月1日,2012/4/1,,2022/3/15
道内認可保育所,11029,シアトル,70,20,札幌（北）,社福,社福,,社会福祉法人ゆたか会,ドリームキッズ保育園,002-8041,札幌市北区東茨戸1条1丁目8-31,,,,43.160889,141.356167,011-788-3065,,011-788-3075,,33,27,畑　博晶,平成25年4月1日,2013/4/1,,2022/3/15
道内認可保育所,11029,ベルリン,85,55,札幌（北）,株式,株式,,アートチャイルドケア株式会社,アートチャイルドケア札幌百合が原,002-8081,札幌市北区百合が原1丁目1-1,,,,43.124923,141.355805,011-748-1230,,011-748-1232,http://www.the0123child.com/personal/area/hokkaido/acc-yurigahara.php,54,36,小松　裕子,平成25年4月1日,2013/4/1,,2022/3/15
道内認可保育所,11029,ロンドン,60,40,札幌（北）,社福,社福,,社会福祉法人ふれ愛事業協会,新琴似南保育園,001-0902,札幌市北区新琴似2条6丁目2-34,,,,43.10735,141.319261,011-768-5050,,011-768-5051,http://hureai-child.jp/sinkotoniminami/index.html,51,39,渡辺　惠子,平成26年4月1日,2014/4/1,,2022/3/15
道内認可保育所,11029,パリ,35,60,札幌（北）,社福,社福,,社会福祉法人札幌正栄会,屯田すずらん保育園,002-0856,札幌市北区屯田6条4丁目2-20,,,,43.13394,141.337446,011-775-8080,,011-775-8090,http://suzuran-hoikuen.net/modules/tonden-suzuran/,45,45,佐々木　園恵,平成26年4月1日,2014/4/1,,2022/3/15
道内認可保育所,11029,東京,80,20,札幌（北）,社福,社福,,社会福祉法人青葉学園,麻生保育園,001-0039,札幌市北区北39条西3丁目2-3,,,,43.106717,141.341033,011-716-9252,,011-716-9257,,72,58,坪谷　雄介,昭和43年12月1日,1968/12/1,,2022/3/15
道内認可保育所,11029,札幌-047,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人真成福祉会,屯田保育園,002-0855,札幌市北区屯田5条6丁目2-16,,,,43.131547,141.32981,011-772-1151,,011-772-5531,,66,54,成澤　功,昭和46年11月1日,1971/11/1,,2022/3/15
道内認可保育所,11029,札幌-048,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人篠路福祉会,篠路中央保育園,002-8022,札幌市北区篠路2条9丁目1-1,,,,43.141296,141.368472,011-771-2117,,011-771-2147,,58,42,林　茂子,昭和46年5月1日,1971/5/1,,2022/3/15
道内認可保育所,11029,札幌-049,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人愛和福祉会,愛和えるむ保育園,060-0808,札幌市北区北8条西3丁目32番地,,,,43.070858,141.350547,011-736-5243,,011-736-5709,http://blog.livedoor.jp/aiwa_elm/,50,40,桑原　康彦,昭和47年12月1日,1972/12/1,,2022/3/15
道内認可保育所,11029,札幌-050,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人高翔福祉会,篠路高洋保育園,002-8023,札幌市北区篠路3条6丁目4-40,,,,43.146043,141.363658,011-772-0050,,011-772-0168,,68,52,_見　貴弘,昭和48年4月1日,1973/4/1,,2022/3/15
道内認可保育所,11029,札幌-051,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人札幌黎明福祉会,幌北ゆりかご保育園,001-0018,札幌市北区北18条西7丁目1-3,,,,43.082116,141.341559,011-746-3301,,011-746-3304,http://www.sapporo-yurikago.jp/,61,49,菅野　由美子,昭和48年10月1日,1973/10/1,,2022/3/15
道内認可保育所,11029,札幌-052,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人札幌みどり福祉会,三和新琴似保育園,001-0906,札幌市北区新琴似6条12丁目1-23,,,,43.118548,141.315228,011-761-5252,,011-761-2040,,54,46,菊地　秀一,昭和49年2月1日,1974/2/1,,2022/3/15
道内認可保育所,11029,札幌-053,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人太平福祉会,太平保育園,002-8011,札幌市北区太平11条1丁目1-20,,,,43.13799,141.349891,011-772-1450,,011-772-1588,,71,49,竹田　かおる,昭和49年5月1日,1974/5/1,,2022/3/15
道内認可保育所,11029,札幌-054,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人札幌みどり福祉会,あかつき篠路保育園,002-8021,札幌市北区篠路1条6丁目2-7,,,,43.13913,141.361417,011-772-3003,,011-772-8917,,68,52,渡邉　慎司,昭和49年10月1日,1974/10/1,,2022/3/15
道内認可保育所,11029,札幌-055,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人新陽会,札幌北保育園,001-0032,札幌市北区北32条西9丁目2-12,,,,43.098551,141.334534,011-758-5455,,011-758-0619,,71,49,見延　衆一郎,昭和51年11月1日,1976/11/1,,2022/3/15
道内認可保育所,11029,札幌-056,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人新琴似子鳩園,札幌こばと保育園,001-0911,札幌市北区新琴似11条15丁目1-38,,,,43.129685,141.316172,011-762-9561,,011-762-9562,,57,33,金子　広,昭和53年11月1日,1978/11/1,,2022/3/15
道内認可保育所,11029,札幌-057,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人新栄会,新川北保育園,001-0924,札幌市北区新川4条11丁目5-23,,,,43.108577,141.307619,011-763-3585,,011-765-7673,,48,42,菊地　将也,昭和55年12月1日,1980/12/1,,2022/3/15
道内認可保育所,11029,札幌-058,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人北海道クリスチャンセンター福祉会,札幌はこぶね保育園,060-0807,札幌市北区北7条西6丁目2-33,,,,43.069222,141.345396,011-737-3535,,011-737-3553,http://www3.ocn.ne.jp/?hakobune/,36,24,佐々木　克幸,昭和59年2月1日,1984/2/1,,2022/3/15
道内認可保育所,11029,札幌-059,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人太平福祉会,あいの里保育園,002-8072,札幌市北区あいの里2条2丁目12-4,,,,43.162351,141.388108,011-778-1088,,011-778-1022,,47,43,佐々木　真輝子,平成12年4月1日,2000/4/1,,2022/3/15
道内認可保育所,11029,札幌-060,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人風の子会,風の子保育園,002-8081,札幌市北区百合が原4丁目8-31,,,,43.128898,141.362125,011-774-0484,,011-774-0485,,30,30,喜多　洋子,平成15年4月1日,2003/4/1,,2022/3/15
道内認可保育所,11029,札幌-061,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人はぐくみ会,はぐくみ保育園,001-0026,札幌市北区北26条西3丁目2-20,,,,43.093559,141.344337,011-756-6742,,011-756-6741,http://www13.ocn.ne.jp/?hagukumi/top.html,39,31,廣田　麗子,平成15年4月1日,2003/4/1,,2022/3/15
道内認可保育所,11029,札幌-062,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人大藤福祉会,屯田大藤保育園,002-0858,札幌市北区屯田8条7丁目1-1,,,,43.13956,141.330995,011-775-2511,,011-775-4333,http://www.ohfuji.ed.jp/institute/intoroduction.html,83,72,_木　聖子,平成16年4月1日,2004/4/1,,2022/3/15
道内認可保育所,11029,札幌-063,北海道,札幌市北区,札幌（北）,その他,その他,,国立大学法人北海道大学,子どもの園保育園,060-0811,札幌市北区北11条西5丁目,,,,43.074347,141.346396,011-706-4588,,011-706-4587,http://www.hokudai.ac.jp/bureau/hoikuen/,30,30,齊藤　聖子,平成17年4月1日,2005/4/1,,2022/3/15
道内認可保育所,11029,札幌-064,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人札幌みどり福祉会,新琴似中央保育園,001-0905,札幌市北区新琴似5条3丁目1-63,,,,43.109006,141.32801,011-788-8688,,011-766-1770,,36,34,片岡　美和,平成21年4月1日,2009/4/1,,2022/3/15
道内認可保育所,11029,札幌-065,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人大和まほろば福祉会,あいの里せせらぎ保育園,002-8073,札幌市北区あいの里3条7丁目2-6,,,,43.159451,141.4068,011-299-3783,,011-299-3784,http://www.cosmo.bz/ed/seseragi/,57,43,内薗　みどり,平成22年5月1日,2010/5/1,,2022/3/15
道内認可保育所,11029,札幌-066,北海道,札幌市北区,札幌（北）,株式,株式,,アートチャイルドケア株式会社,アートチャイルドケア新琴似,001-0908,札幌市北区新琴似8条1丁目4-33,,,,43.112719,141.334863,011-708-0789,,011-756-1616,http://www.the0123child.com/personal/area/hokkaido/acc-shin-kotoni.php,45,33,中村　美奈子,平成22年9月30日,2010/9/30,,2022/3/15
道内認可保育所,11029,札幌-067,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人豊友福祉会,つばさ保育園,002-8029,札幌市北区篠路9条1丁目6-7,,,,43.156607,141.354057,011-771-5511,,011-771-5211,http://www.tsubasahoikuen.jp/index.html,36,34,関戸　豊,平成24年8月1日,2012/8/1,,2022/3/15
道内認可保育所,11029,札幌-068,北海道,札幌市北区,札幌（北）,株式,株式,,株式会社日本保育サービス,アスク新琴似保育園,001-0907,札幌市北区新琴似7条2丁目2-35,,,,43.11124,141.33237,011-769-8680,,,,33,27,佐藤　知里,平成27年4月1日,2015/4/1,,2022/3/15
道内認可保育所,11029,札幌-069,北海道,札幌市北区,札幌（北）,株式,株式,,アートチャイルドケア株式会社,アートチャイルドケア北大前,001-0012,札幌市北区北12条西4丁目1-25,,,,43.07512,141.34771,011-728-3555,,,,0,20,澤田　優子,平成27年4月1日,2015/4/1,,2022/3/15
道内認可保育所,11029,札幌-070,北海道,札幌市北区,札幌（北）,株式,株式,,株式会社スクルドアンドカンパニー,スクルドエンジェル保育園新琴似園,001-0912,札幌市北区新琴似12条12丁目5-2,,,,43.1268,141.322,011-839-1887,,,,16,14,内山　美幸,平成28年4月1日,2016/4/1,,2022/3/15
道内認可保育所,11029,札幌-071,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人ナーサリー虹の会,こすもす保育園,001-0924,札幌市北区新川4条17丁目1-25,,,,43.1155,141.2958,011-214-1313,,,,22,18,野尻　佳代子,平成29年4月1日,2017/4/1,,2022/3/15
道内認可保育所,11029,札幌-072,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人幸友福祉会,白楊みどり保育園,001-0025,札幌市北区北25条西6丁目1-10,,,,43.0913,141.3397,011-768-8418,,,,33,27,木村　貴裕,平成30年4月1日,2018/4/1,,2022/3/15
道内認可保育所,11029,札幌-073,北海道,札幌市北区,札幌（北）,株式,株式,,株式会社ニチイ学館,ニチイキッズさっぽろ保育園,060-0809,札幌市北区北9条西3丁目15,,,,43.0724,141.3498,011-700-0111,,,,27,23,日隈　昭代,平成30年4月1日,2018/4/1,,2022/3/15
道内認可保育所,11029,札幌-074,北海道,札幌市北区,札幌（北）,一社,一社,,一般社団法人美友希保育園,もみの木にいな保育園,001-0910,札幌市北区新琴似10条3丁目1-23,,,,43.1161,141.3351,011-374-6956,,,,24,16,中山　美友希,平成30年9月1日,2018/9/1,,2022/3/15
道内認可保育所,11029,札幌-075,北海道,札幌市北区,札幌（北）,ＮＰＯ,ＮＰＯ,,特定非営利活動法人おーるまいてぃ,保育所おーるまいてぃ屯田園,002-0856,札幌市北区屯田6条10丁目7-25,メディカル旭豊,2,,43.1375,141.3203,011-788-6635,,,,24,16,_屋敷　敦嗣,平成31年4月1日,2019/4/1,,2022/3/15
道内認可保育所,11029,札幌-076,北海道,札幌市北区,札幌（北）,株式,株式,,株式会社クローバー,きずな麻生保育園,001-0910,札幌市北区新琴似10条1丁目7-16,,,,43.1149,141.3392,011-709-7311,,,,24,16,長谷川　幸,令和1年10月1日,2019/10/1,,2022/3/15
道内認可保育所,11029,札幌-077,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人元氣会,新川西コグマ保育園,001-0933,札幌市北区新川西3条5丁目5-10,,,,43.129,141.2788,011-764-2000,,,,33,27,佐々木　優子,令和2年4月1日,2020/4/1,,2022/3/15
道内認可保育所,11029,札幌-078,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人札幌協働福祉会,あいの里第２協働保育園,002-8071,札幌市北区あいの里1条6丁目1-15,,,,43.1555,141.3999,011-792-1152,,,,35,25,池田　亮,令和2年4月1日,2020/4/1,,2022/3/15
道内認可保育所,11029,札幌-079,北海道,札幌市北区,札幌（北）,株式,株式,,株式会社プライムツーワン,ピッコロ子ども倶楽部北大前保育所,001-0015,札幌市北区北15条西5丁目1-5,,,,43.0788,141.3455,011-790-7957,,,,51,39,石川　淳子,令和2年4月1日,2020/4/1,,2022/3/15
道内認可保育所,11029,札幌-080,北海道,札幌市北区,札幌（北）,株式,株式,,ＡＮＹＤＳ株式会社,新川ひまわり保育園,060-0042,札幌市北区北28条西14丁目1-10,,,,43.0974,141.3278,011-738-2222,,,,35,25,棟方　真弓,令和2年6月1日,2020/6/1,,2022/3/15
道内認可保育所,11029,札幌-081,北海道,札幌市北区,札幌（北）,株式,株式,,株式会社クローバー,きずな北保育園,001-0028,札幌市北区北28条西5丁目1-26,,,,43.0948,141.3416,011-709-1015,,,,24,16,田中　雅世,令和2年10月1日,2020/10/1,,2022/3/15
道内認可保育所,11029,札幌-082,北海道,札幌市北区,札幌（北）,社福,社福,,社会福祉法人楽城会,新陽保育園,001-0026,札幌市北区北26条西15丁目4-27,,,,43.094,141.3266,011-788-6400,,,,24,16,長屋　燎,令和3年4月1日,2021/4/1,,2022/3/15
道内認可保育所,11029,札幌-083,北海道,札幌市北区,札幌（北）,株式,株式,,株式会社バンブーぴあ,札幌北はぐはぐ保育園,001-0029,札幌市北区北29条西10丁目2-5,,,,43.0918,141.3431,011-768-8003,,,,24,16,鎌田　妙子,令和3年4月1日,2021/4/1,,2022/3/15
